symbol,name,sector,industry,marketCap,ipoYear 
GOED,1847 Goedeker Inc.,Consumer Services,Home Furnishings,$51.75M,2020
XXII,22nd Century Group, Inc,Consumer Non-Durables,Farming/Seeds/Milling,$106.93M,n/a
ACU,Acme United Corporation.,Capital Goods,Industrial Machinery/Components,$73.03M,1988
ATNM,Actinium Pharmaceuticals, Inc.,Health Care,Major Pharmaceuticals,$237.09M,n/a
AE,Adams Resources & Energy, Inc.,Energy,Oil Refining/Marketing,$91.83M,n/a
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services,$4.47M,n/a
UAVS,AgEagle Aerial Systems, Inc.,Capital Goods,Aerospace,$122.13M,n/a
AGE,AgeX Therapeutics, Inc.,Health Care,Major Pharmaceuticals,$41.42M,2018
AIRI,Air Industries Group,Capital Goods,Military/Government/Technical,$39.75M,n/a
AXU,Alexco Resource Corp,Basic Industries,Precious Metals,$408.42M,n/a
AAU,Almaden Minerals, Ltd.,Basic Industries,Precious Metals,$87.93M,2015
APT,Alpha Pro Tech, Ltd.,Health Care,Industrial Specialties,$337.55M,n/a
AAMC,Altisource Asset Management Corp,Finance,Real Estate,$22.91M,n/a
AMBO,Ambow Education Holding Ltd.,Consumer Services,Other Consumer Services,$67.55M,n/a
DIT,AMCON Distributing Company,Consumer Non-Durables,Food Distributors,$38.58M,n/a
AMS,American Shared Hospital Services,Health Care,Medical Specialities,$11.6M,n/a
USAS,Americas Gold and Silver Corporation,Basic Industries,Precious Metals,$374.16M,2017
AMPE,Ampio Pharmaceuticals, Inc.,Health Care,Major Pharmaceuticals,$173.09M,n/a
ANVS,Annovis Bio, Inc.,Health Care,Major Pharmaceuticals,$39.41M,2020
ARMP,Armata Pharmaceuticals, Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),$73.65M,n/a
AINC,Ashford Inc.,Consumer Services,Professional Services,$15.59M,2014
AUG,Auryn Resources Inc.,Basic Industries,Precious Metals,$266.71M,n/a
AWX,Avalon Holdings Corporation,Public Utilities,Environmental Services,$6.7M,n/a
ASM,Avino Silver,Basic Industries,Precious Metals,$87.87M,n/a
BTG,B2Gold Corp,Basic Industries,Precious Metals,$7.23B,n/a
